,Load,Trial_Type,Audio,RT_VS,Sound_Onset,Sound_Hz,RT_TO,Acc_VS,Acc_DT
126,high,No Target,Normal,NaN,None,None,NaN,999,0
127,high,No Target,Normal,NaN,None,None,NaN,999,0
128,high,Target Absent,Normal,0.774,None,None,NaN,0,0
129,high,No Target,Normal,NaN,None,None,NaN,999,0
130,high,No Target,Normal,NaN,None,None,NaN,999,0
131,high,No Target,Critical,NaN,0.406,tone2,0.493,999,1
132,high,No Target,Normal,NaN,None,None,NaN,999,0
133,high,No Target,Normal,NaN,None,None,NaN,999,0
134,high,No Target,Critical,NaN,0.788,tone1,0.575,999,1
135,high,No Target,Normal,NaN,None,None,NaN,999,0
136,high,No Target,Normal,NaN,None,None,NaN,999,0
137,high,No Target,Critical,NaN,0.178,tone3,0.437,999,1
138,high,No Target,Normal,NaN,None,None,NaN,999,0
139,high,No Target,Normal,NaN,None,None,NaN,999,0
140,high,No Target,Normal,NaN,None,None,NaN,999,0
141,high,No Target,Normal,NaN,None,None,NaN,999,0
142,high,No Target,Critical,NaN,0.496,tone3,NaN,999,0
143,high,No Target,Normal,NaN,None,None,NaN,999,0
144,high,No Target,Normal,NaN,None,None,NaN,999,0
145,high,No Target,Normal,NaN,None,None,NaN,999,0
146,high,No Target,Normal,NaN,None,None,NaN,999,0
147,high,No Target,Normal,NaN,None,None,NaN,999,0
148,high,No Target,Normal,NaN,None,None,NaN,999,0
149,high,No Target,Normal,NaN,None,None,NaN,999,0
150,high,No Target,Normal,NaN,None,None,NaN,999,0
151,high,No Target,Normal,NaN,None,None,NaN,999,0
152,high,No Target,Normal,NaN,None,None,NaN,999,0
153,high,No Target,Critical,NaN,0.273,tone4,0.489,999,1
154,high,No Target,Normal,NaN,None,None,NaN,999,0
155,high,No Target,Normal,NaN,None,None,NaN,999,0
156,high,No Target,Normal,NaN,None,None,NaN,999,0
157,high,No Target,Normal,NaN,None,None,NaN,999,0
158,high,No Target,Normal,NaN,None,None,NaN,999,0
159,high,No Target,Normal,NaN,None,None,NaN,999,0
160,high,No Target,Normal,NaN,None,None,NaN,999,0
161,high,No Target,Normal,NaN,None,None,NaN,999,0
162,high,Target Absent,Normal,0.7130000000000001,None,None,NaN,1,0
163,high,Target Present,Normal,0.651,None,None,NaN,1,0
164,high,No Target,Normal,NaN,None,None,NaN,999,0
165,high,Target Present,Normal,0.7425,None,None,NaN,1,0
166,high,Target Present,Normal,0.758,None,None,NaN,1,0
167,high,No Target,Critical,NaN,0.934,tone1,NaN,999,0
168,high,No Target,Normal,NaN,None,None,NaN,999,0
169,high,No Target,Normal,NaN,None,None,NaN,999,0
170,high,No Target,Critical,NaN,0.427,tone3,0.6063768115942029,999,1
171,high,No Target,Normal,NaN,None,None,NaN,999,0
172,high,No Target,Normal,NaN,None,None,NaN,999,0
173,high,No Target,Normal,NaN,None,None,NaN,999,0
174,high,No Target,Normal,NaN,None,None,NaN,999,0
175,high,No Target,Normal,NaN,None,None,NaN,999,0
176,high,No Target,Normal,NaN,None,None,NaN,999,0
177,high,No Target,Normal,NaN,None,None,NaN,999,0
178,high,No Target,Critical,NaN,0.984,tone1,0.4730000000000001,999,1
179,high,Target Absent,Normal,0.641,None,None,NaN,1,0
180,low,No Target,Normal,NaN,None,None,NaN,999,0
181,low,No Target,Normal,NaN,None,None,NaN,999,0
182,low,No Target,Normal,NaN,None,None,0.487,999,0
183,low,No Target,Normal,NaN,None,None,NaN,999,0
184,low,No Target,Normal,NaN,None,None,NaN,999,0
185,low,No Target,Normal,NaN,None,None,NaN,999,0
186,low,No Target,Normal,NaN,None,None,NaN,999,0
